"taz";"hhlds2015";"transittotal2015";"autototal2015";"hhlds2050";"transittotal2050";"autototal2050"
163.0;361.0;125;819;361.0;266;892
806.0;0.0;878;1220;0.0;1059;1296
638.0;12.0;648;1279;21.0;876;1411
55.0;399.0;516;978;589.0;804;1099
153.0;401.0;85;697;420.0;255;738
496.0;0.0;100;789;0.0;182;825
594.0;312.0;484;856;335.0;767;1027
261.0;549.0;380;846;614.0;653;1010
356.0;470.0;556;842;474.0;711;1015
455.0;855.0;43;900;920.0;71;1086
72.0;474.0;516;1114;478.0;661;1125
308.0;1341.0;737;1180;1369.0;958;1240
786.0;5.0;777;1194;5.0;987;1299
821.0;484.0;646;1080;495.0;830;1176
924.0;664.0;666;1265;671.0;957;1414
57.0;361.0;562;1122;426.0;565;1147
235.0;704.0;611;988;724.0;772;1007
245.0;781.0;691;1066;791.0;914;1124
511.0;211.0;204;844;214.0;516;1022
973.0;0.0;4;809;0.0;3;954
433.0;181.0;536;1131;177.0;714;1178
709.0;0.0;568;853;233.0;767;1015
252.0;658.0;623;906;688.0;820;998
633.0;253.0;640;1268;253.0;841;1400
298.0;434.0;500;850;438.0;780;1032
379.0;835.0;526;838;842.0;720;1014
967.0;0.0;227;829;0.0;469;991
111.0;638.0;99;629;802.0;343;690
527.0;349.0;361;846;453.0;579;1029
296.0;1691.0;844;1191;2479.0;1075;1241
63.0;387.0;441;1092;415.0;425;1140
376.0;451.0;689;1054;469.0;940;1173
410.0;429.0;76;1035;462.0;257;1086
146.0;635.0;732;1137;670.0;966;1207
592.0;246.0;735;1192;598.0;992;1307
518.0;187.0;49;881;188.0;63;1035
218.0;497.0;100;830;588.0;354;991
920.0;0.0;317;836;0.0;495;1017
533.0;938.0;624;1082;962.0;845;1132
616.0;255.0;427;852;276.0;667;1018
893.0;49.0;39;909;55.0;86;1063
110.0;438.0;141;627;530.0;375;679
361.0;858.0;641;1040;869.0;835;1154
340.0;926.0;609;906;956.0;812;1032
902.0;35.0;37;957;38.0;225;1082
157.0;545.0;809;1101;570.0;1037;1183
350.0;969.0;610;977;1001.0;801;1067
888.0;231.0;247;938;953.0;444;1044
934.0;76.0;818;1241;77.0;1043;1314
843.0;403.0;620;852;404.0;811;1015
262.0;434.0;516;860;498.0;741;1024
398.0;477.0;197;1055;527.0;379;1136
413.0;401.0;430;1154;404.0;527;1193
678.0;1114.0;825;1230;1516.0;1033;1295
92.0;549.0;465;1142;560.0;601;1164
827.0;0.0;569;1168;28.0;730;1237
263.0;766.0;572;855;787.0;801;1009
337.0;324.0;553;831;372.0;742;1019
589.0;228.0;676;1248;2704.0;978;1341
138.0;634.0;542;964;675.0;727;1072
100.0;334.0;466;1124;338.0;670;1180
866.0;2.0;375;1164;67.0;610;3
124.0;657.0;699;1074;695.0;769;1106
275.0;1526.0;667;988;1680.0;892;1004
371.0;816.0;622;1033;817.0;864;1124
102.0;546.0;622;1038;579.0;814;1104
19.0;575.0;535;910;710.0;535;1078
